item_code;item_name;cbm
ES-FL1480MWX;WM FRONT LOADING INV;0.306
ES-FL1490MSX;WM FRONT LOADING 9 KG;0.387
ES-FL1491XW;WM FRONT LOADING 9.5;0.407
ES-M1000T-GG;WM TOP LOADING MEGAM;0.39
ES-M1050XT-SA;WM TOP LOADING MM IN;0.4
ES-M1109T-GG;WM TOP LOADING MEGAM;0.4
ES-M1150XT-SM;WM TOP LOADING MEGAM;0.406
ES-M7000P-GG;WM TOP LOADING MEGAM;0.365
ES-M8000P-GG;WM TOP LOADING MEGAM;0.365
ES-M8000T-GG;MW TOP LOADING MEGAM;0.39
ES-M809T-GG;WM- TOP LOADING MEGAM;0.399
ES-M8500XT-SA;WM TOP LOADING MM IN;0.4
ES-M9000T-GG;WM TOP LOADING MEGAM;0.39
ES-M909T-GG;WM TOP LOADING MEGAM;0.411
ES-M9500XT-SA;WM TOP LOADING MM IN;0.4
ES-T1070SJ-GR;WM TWINTUB HIJAB 9 KG;0.46
ES-T1090-BK;WASHING MACHINE TWIN;0.514
ES-T1090-PK;WASHING MACHINE TWIN;0.514
ES-T1090-VK;WASHING MACHINE TWIN TUB LOCAL;0.514
ES-T1270SJ-BL;WASHING MACHINE TWIN TUB LOCAL;0.528
ES-T1270SJ-PK;WM TWINTUB HIJAB PIN;0.344
ES-T1290WA-BL;WASHING MACHINE TWIN TUB LOCAL;0.612
ES-T1290WA-PK;WASHING AMCHINE TWIN TUB LOCAL;0.612
ES-T1490WA-BL;WASHING AMCHINE TWIN TUB LOCAL;0.612
ES-T1490WA-RD;WASHING MACHINE TWIN TUB LOCAL;0.612
ES-T65NT-BL;WM TWINTUB NT SERIES;0.333
ES-T65NT-GY;WM TWINTUB NT SERIES;0.333
ES-T68MW-PK;WASHING MACHINE TWIN TUB LOCAL;0.351
ES-T70MW-BL;WASHING MACHINE TWIN;0.344
ES-T70MW-LC;WASHING MACHINE TWIN;0.344
ES-T70MW-PK;WASHING MACHINE TWIN;0.344
ES-T75NT-BL;WM TWINTUB NT SERIES;0.333
ES-T75NT-GY;WM TWINTUB NT SERIES;0.341
ES-T75NT-PK;WM TWINTUB NT SERIES;0.333
ES-T77DA-BK;WASHING MACHINE TWIN TUB LOCAL;0.438
ES-T77DA-RK;WASHING MACHINE TWIN TUB LOCAL;0.438
ES-T79SJ-BL;WASHING MACHINE TWIN TUB LOCAL;0.349
ES-T79SJ-LCT;WASHING MACHINE TWIN TUB LOCAL;0.349
